GB,MB/s
1, 2960
2, 3325
3, 3003
4, 3012
5, 2994
6, 3325
7, 3190
8, 3160
9, 2994
10, 2934
11, 3357
12, 3190
13, 3084
14, 3039
15, 2893
16, 3293
17, 3190
18, 3057
19, 2943
20, 2829
21, 2860
22, 3282
23, 3357
24, 3272
25, 3084
26, 3336
27, 3293
28, 2926
29, 3336
30, 3241
31, 2860
32, 3293
33, 3200
34, 2837
35, 3325
36, 3230
37, 3210
38, 3251
39, 3230
40, 3303
